DATE,DGS6MO
2023-06-09,5.39
2023-06-12,5.38
2023-06-13,5.36
2023-06-14,5.36
2023-06-15,5.33
2023-06-16,5.35
2023-06-19,.
2023-06-20,5.41
2023-06-21,5.41
2023-06-22,5.41
2023-06-23,5.41
2023-06-26,5.45
2023-06-27,5.46
2023-06-28,5.47
2023-06-29,5.50
2023-06-30,5.47
2023-07-03,5.53
2023-07-04,.
2023-07-05,5.52
2023-07-06,5.54
2023-07-07,5.53
2023-07-10,5.54
2023-07-11,5.55
2023-07-12,5.53
2023-07-13,5.49
