DATE,BAMLC0A4CBBBEY
2019-05-21,3.99
2019-05-22,3.97
2019-05-23,3.91
2019-05-24,3.94
2019-05-27,3.94
2019-05-28,3.90
2019-05-29,3.90
2019-05-30,3.89
2019-05-31,3.85
2019-06-03,3.80
2019-06-04,3.82
2019-06-05,3.81
2019-06-06,3.82
2019-06-07,3.78
2019-06-10,3.81
2019-06-11,3.80
2019-06-12,3.78
2019-06-13,3.75
2019-06-14,3.75
2019-06-17,3.75
2019-06-18,3.71
2019-06-19,3.66
2019-06-20,3.61
2019-06-21,3.64
2019-06-24,3.58
2019-06-25,3.57
2019-06-26,3.61
2019-06-27,3.57
2019-06-28,3.55
2019-06-30,3.56
2019-07-01,3.57
2019-07-02,3.53
2019-07-03,3.51
2019-07-04,3.51
2019-07-05,3.59
2019-07-08,3.58
2019-07-09,3.61
2019-07-10,3.59
2019-07-11,3.63
2019-07-12,3.61
2019-07-15,3.59
2019-07-16,3.62
2019-07-17,3.57
2019-07-18,3.55
2019-07-19,3.55
2019-07-22,3.54
2019-07-23,3.55
2019-07-24,3.53
2019-07-25,3.54
2019-07-26,3.54
2019-07-29,3.51
2019-07-30,3.53
2019-07-31,3.53
2019-08-01,3.42
2019-08-02,3.42
2019-08-05,3.36
2019-08-06,3.37
2019-08-07,3.34
2019-08-08,3.37
2019-08-09,3.38
2019-08-12,3.32
2019-08-13,3.37
2019-08-14,3.31
2019-08-15,3.28
2019-08-16,3.28
2019-08-19,3.31
2019-08-20,3.27
2019-08-21,3.28
2019-08-22,3.30
2019-08-23,3.23
2019-08-26,3.24
2019-08-27,3.20
2019-08-28,3.19
2019-08-29,3.22
2019-08-30,3.20
2019-08-31,3.21
2019-09-02,3.21
2019-09-03,3.18
2019-09-04,3.17
2019-09-05,3.26
2019-09-06,3.24
2019-09-09,3.29
2019-09-10,3.36
2019-09-11,3.38
2019-09-12,3.41
2019-09-13,3.49
2019-09-16,3.43
2019-09-17,3.40
2019-09-18,3.38
2019-09-19,3.36
2019-09-20,3.34
2019-09-23,3.29
2019-09-24,3.24
2019-09-25,3.33
2019-09-26,3.29
2019-09-27,3.28
2019-09-30,3.30
2019-10-01,3.26
2019-10-02,3.24
2019-10-03,3.19
2019-10-04,3.17
2019-10-07,3.21
2019-10-08,3.20
2019-10-09,3.24
2019-10-10,3.29
2019-10-11,3.34
2019-10-14,3.34
2019-10-15,3.33
2019-10-16,3.30
2019-10-17,3.30
2019-10-18,3.28
2019-10-21,3.31
2019-10-22,3.27
2019-10-23,3.27
2019-10-24,3.27
2019-10-25,3.29
2019-10-28,3.31
2019-10-29,3.30
2019-10-30,3.28
2019-10-31,3.22
2019-11-01,3.24
2019-11-04,3.27
2019-11-05,3.32
2019-11-06,3.28
2019-11-07,3.36
2019-11-08,3.36
2019-11-11,3.36
2019-11-12,3.34
2019-11-13,3.31
2019-11-14,3.27
2019-11-15,3.28
2019-11-18,3.26
2019-11-19,3.25
2019-11-20,3.22
2019-11-21,3.26
2019-11-22,3.26
2019-11-25,3.24
2019-11-26,3.20
2019-11-27,3.22
2019-11-28,.
2019-11-29,3.22
2019-11-30,3.25
2019-12-02,3.29
2019-12-03,3.19
2019-12-04,3.24
2019-12-05,3.24
2019-12-06,3.26
2019-12-09,3.24
2019-12-10,3.24
2019-12-11,3.20
2019-12-12,3.28
2019-12-13,3.19
2019-12-16,3.23
2019-12-17,3.21
2019-12-18,3.23
2019-12-19,3.20
2019-12-20,3.20
2019-12-23,3.22
2019-12-24,3.19
2019-12-25,.
2019-12-26,3.19
2019-12-27,3.15
2019-12-30,3.16
2019-12-31,3.19
2020-01-01,.
2020-01-02,3.17
2020-01-03,3.11
2020-01-06,3.14
2020-01-07,3.15
2020-01-08,3.19
2020-01-09,3.16
2020-01-10,3.13
2020-01-13,3.14
2020-01-14,3.12
2020-01-15,3.09
2020-01-16,3.10
2020-01-17,3.10
2020-01-20,3.10
2020-01-21,3.04
2020-01-22,3.03
2020-01-23,3.02
2020-01-24,2.98
2020-01-27,2.96
2020-01-28,2.99
2020-01-29,2.94
2020-01-30,2.93
2020-01-31,2.93
2020-02-03,2.93
2020-02-04,2.99
2020-02-05,3.00
2020-02-06,2.99
2020-02-07,2.94
2020-02-10,2.91
2020-02-11,2.94
2020-02-12,2.96
2020-02-13,2.95
2020-02-14,2.92
2020-02-17,2.92
2020-02-18,2.90
2020-02-19,2.91
2020-02-20,2.89
2020-02-21,2.85
2020-02-24,2.82
2020-02-25,2.81
2020-02-26,2.81
2020-02-27,2.86
2020-02-28,2.80
2020-02-29,2.80
2020-03-02,2.80
2020-03-03,2.72
2020-03-04,2.67
2020-03-05,2.65
2020-03-06,2.63
2020-03-09,2.95
2020-03-10,3.17
2020-03-11,3.31
2020-03-12,3.63
2020-03-13,3.77
2020-03-16,3.86
2020-03-17,4.27
2020-03-18,4.82
2020-03-19,5.23
2020-03-20,5.48
2020-03-23,5.56
2020-03-24,5.48
2020-03-25,5.23
2020-03-26,4.94
2020-03-27,4.80
2020-03-30,4.66
2020-03-31,4.59
2020-04-01,4.58
2020-04-02,4.59
2020-04-03,4.59
2020-04-06,4.61
2020-04-07,4.52
2020-04-08,4.42
2020-04-09,4.09
2020-04-10,.
2020-04-13,3.93
2020-04-14,3.79
2020-04-15,3.72
2020-04-16,3.68
2020-04-17,3.68
2020-04-20,3.69
2020-04-21,3.71
2020-04-22,3.73
2020-04-23,3.69
2020-04-24,3.68
2020-04-27,3.72
2020-04-28,3.67
2020-04-29,3.64
2020-04-30,3.42
2020-05-01,3.44
2020-05-04,3.45
2020-05-05,3.45
2020-05-06,3.48
2020-05-07,3.43
2020-05-08,3.48
2020-05-11,3.53
2020-05-12,3.48
2020-05-13,3.45
2020-05-14,3.42
2020-05-15,3.42
2020-05-18,3.42
2020-05-19,3.33
2020-05-20,3.24
2020-05-21,3.21
2020-05-22,3.18
2020-05-25,3.18
2020-05-26,3.15
2020-05-27,3.11
2020-05-28,3.09
2020-05-29,3.02
2020-05-31,3.04
2020-06-01,3.03
2020-06-02,2.99
2020-06-03,2.97
2020-06-04,2.95
2020-06-05,2.88
2020-06-08,2.82
2020-06-09,2.80
2020-06-10,2.76
2020-06-11,2.79
2020-06-12,2.82
2020-06-15,2.83
2020-06-16,2.73
2020-06-17,2.70
2020-06-18,2.68
2020-06-19,2.67
2020-06-22,2.67
2020-06-23,2.67
2020-06-24,2.68
2020-06-25,2.69
2020-06-26,2.67
2020-06-29,2.68
2020-06-30,2.68
2020-07-01,2.67
2020-07-02,2.62
2020-07-03,2.62
2020-07-06,2.60
2020-07-07,2.57
2020-07-08,2.57
2020-07-09,2.54
2020-07-10,2.56
2020-07-13,2.55
2020-07-14,2.53
2020-07-15,2.51
2020-07-16,2.49
2020-07-17,2.49
2020-07-20,2.46
2020-07-21,2.41
2020-07-22,2.39
2020-07-23,2.36
2020-07-24,2.37
2020-07-27,2.38
2020-07-28,2.37
2020-07-29,2.36
2020-07-30,2.34
2020-07-31,2.35
2020-08-03,2.35
2020-08-04,2.31
2020-08-05,2.31
2020-08-06,2.29
2020-08-07,2.29
2020-08-10,2.29
2020-08-11,2.34
2020-08-12,2.34
2020-08-13,2.38
2020-08-14,2.39
2020-08-17,2.38
2020-08-18,2.38
2020-08-19,2.38
2020-08-20,2.37
2020-08-21,2.36
2020-08-24,2.36
2020-08-25,2.38
2020-08-26,2.39
2020-08-27,2.43
2020-08-28,2.41
2020-08-31,2.38
2020-09-01,2.35
2020-09-02,2.32
2020-09-03,2.30
2020-09-04,2.39
2020-09-07,2.39
2020-09-08,2.37
2020-09-09,2.39
2020-09-10,2.37
2020-09-11,2.36
2020-09-14,2.35
2020-09-15,2.35
2020-09-16,2.35
2020-09-17,2.34
2020-09-18,2.35
2020-09-21,2.35
2020-09-22,2.35
2020-09-23,2.38
2020-09-24,2.41
2020-09-25,2.44
2020-09-28,2.44
2020-09-29,2.42
2020-09-30,2.44
2020-10-01,2.44
2020-10-02,2.45
2020-10-05,2.47
2020-10-06,2.43
2020-10-07,2.44
2020-10-08,2.42
2020-10-09,2.41
2020-10-12,2.41
2020-10-13,2.36
2020-10-14,2.35
2020-10-15,2.37
2020-10-16,2.37
2020-10-19,2.37
2020-10-20,2.39
2020-10-21,2.40
2020-10-22,2.41
2020-10-23,2.40
2020-10-26,2.37
2020-10-27,2.35
2020-10-28,2.38
2020-10-29,2.42
2020-10-30,2.44
2020-10-31,2.45
2020-11-02,2.43
2020-11-03,2.44
2020-11-04,2.34
2020-11-05,2.31
2020-11-06,2.32
2020-11-09,2.35
2020-11-10,2.35
2020-11-11,2.35
2020-11-12,2.30
2020-11-13,2.30
2020-11-16,2.29
2020-11-17,2.26
2020-11-18,2.24
2020-11-19,2.21
2020-11-20,2.19
2020-11-23,2.20
2020-11-24,2.20
2020-11-25,2.19
2020-11-26,2.19
2020-11-27,2.16
2020-11-30,2.15
2020-12-01,2.18
2020-12-02,2.17
2020-12-03,2.13
2020-12-04,2.16
2020-12-07,2.13
2020-12-08,2.13
2020-12-09,2.17
2020-12-10,2.14
2020-12-11,2.14
2020-12-14,2.12
2020-12-15,2.13
2020-12-16,2.11
2020-12-17,2.11
2020-12-18,2.11
2020-12-21,2.11
2020-12-22,2.09
2020-12-23,2.11
2020-12-24,2.09
2020-12-25,.
2020-12-28,2.08
2020-12-29,2.07
2020-12-30,2.05
2020-12-31,2.06
2021-01-01,.
2021-01-04,2.06
2021-01-05,2.10
2021-01-06,2.16
2021-01-07,2.16
2021-01-08,2.17
2021-01-11,2.18
2021-01-12,2.18
2021-01-13,2.13
2021-01-14,2.15
2021-01-15,2.12
2021-01-18,2.12
2021-01-19,2.11
2021-01-20,2.10
2021-01-21,2.12
2021-01-22,2.12
2021-01-25,2.10
2021-01-26,2.10
2021-01-27,2.10
2021-01-28,2.12
2021-01-29,2.14
2021-01-31,2.16
2021-02-01,2.15
2021-02-02,2.16
2021-02-03,2.17
2021-02-04,2.16
2021-02-05,2.16
2021-02-08,2.14
2021-02-09,2.14
2021-02-10,2.12
2021-02-11,2.13
2021-02-12,2.16
2021-02-15,2.15
2021-02-16,2.20
2021-02-17,2.20
2021-02-18,2.19
2021-02-19,2.22
2021-02-22,2.26
2021-02-23,2.27
2021-02-24,2.29
2021-02-25,2.39
2021-02-26,2.36
2021-02-28,2.37
2021-03-01,2.35
2021-03-02,2.33
2021-03-03,2.37
2021-03-04,2.43
2021-03-05,2.46
2021-03-08,2.51
2021-03-09,2.51
2021-03-10,2.48
2021-03-11,2.47
2021-03-12,2.54
2021-03-15,2.52
2021-03-16,2.52
2021-03-17,2.52
2021-03-18,2.57
2021-03-19,2.57
2021-03-22,2.53
2021-03-23,2.51
2021-03-24,2.49
2021-03-25,2.49
2021-03-26,2.51
2021-03-29,2.54
2021-03-30,2.53
2021-03-31,2.55
2021-04-01,2.49
2021-04-02,.
2021-04-05,2.51
2021-04-06,2.47
2021-04-07,2.46
2021-04-08,2.45
2021-04-09,2.46
2021-04-12,2.47
2021-04-13,2.44
2021-04-14,2.44
2021-04-15,2.37
2021-04-16,2.41
2021-04-19,2.43
2021-04-20,2.41
2021-04-21,2.42
2021-04-22,2.40
2021-04-23,2.41
2021-04-26,2.40
2021-04-27,2.43
2021-04-28,2.43
2021-04-29,2.43
2021-04-30,2.45
2021-05-03,2.42
2021-05-04,2.41
2021-05-05,2.40
2021-05-06,2.39
2021-05-07,2.38
2021-05-10,2.40
2021-05-11,2.42
2021-05-12,2.47
2021-05-13,2.45
2021-05-14,2.42
2021-05-17,2.42
2021-05-18,2.42
2021-05-19,2.45
2021-05-20,2.41
2021-05-21,2.41
2021-05-24,2.38
2021-05-25,2.35
2021-05-26,2.35
2021-05-27,2.37
2021-05-28,2.36
2021-05-31,2.38
2021-06-01,2.39
2021-06-02,2.37
2021-06-03,2.40
2021-06-04,2.36
2021-06-07,2.36
2021-06-08,2.33
2021-06-09,2.31
2021-06-10,2.29
2021-06-11,2.28
2021-06-14,2.31
2021-06-15,2.30
2021-06-16,2.35
2021-06-17,2.31
2021-06-18,2.29
2021-06-21,2.31
2021-06-22,2.30
2021-06-23,2.31
2021-06-24,2.31
2021-06-25,2.34
2021-06-28,2.29
2021-06-29,2.29
2021-06-30,2.28
2021-07-01,2.31
2021-07-02,2.28
2021-07-05,2.27
2021-07-06,2.23
2021-07-07,2.21
2021-07-08,2.19
2021-07-09,2.24
2021-07-12,2.24
2021-07-13,2.28
2021-07-14,2.24
2021-07-15,2.21
2021-07-16,2.22
2021-07-19,2.16
2021-07-20,2.17
2021-07-21,2.21
2021-07-22,2.19
2021-07-23,2.20
2021-07-26,2.20
2021-07-27,2.17
2021-07-28,2.19
2021-07-29,2.18
2021-07-30,2.16
2021-07-31,2.18
2021-08-02,2.15
2021-08-03,2.15
2021-08-04,2.16
2021-08-05,2.19
2021-08-06,2.24
2021-08-09,2.27
2021-08-10,2.29
2021-08-11,2.29
2021-08-12,2.30
2021-08-13,2.25
2021-08-16,2.22
2021-08-17,2.23
2021-08-18,2.24
2021-08-19,2.24
2021-08-20,2.24
2021-08-23,2.23
2021-08-24,2.25
2021-08-25,2.28
2021-08-26,2.27
2021-08-27,2.24
2021-08-30,2.21
2021-08-31,2.24
2021-09-01,2.23
2021-09-02,2.23
2021-09-03,2.24
2021-09-06,2.24
2021-09-07,2.27
2021-09-08,2.25
2021-09-09,2.22
2021-09-10,2.24
2021-09-13,2.22
2021-09-14,2.19
2021-09-15,2.20
2021-09-16,2.22
2021-09-17,2.24
2021-09-20,2.21
2021-09-21,2.22
2021-09-22,2.22
2021-09-23,2.27
2021-09-24,2.30
2021-09-27,2.30
2021-09-28,2.34
2021-09-29,2.34
2021-09-30,2.38
2021-10-01,2.33
2021-10-04,2.35
2021-10-05,2.38
2021-10-06,2.38
2021-10-07,2.42
2021-10-08,2.45
2021-10-11,2.45
2021-10-12,2.45
2021-10-13,2.43
2021-10-14,2.40
2021-10-15,2.44
2021-10-18,2.45
2021-10-19,2.47
2021-10-20,2.47
2021-10-21,2.52
2021-10-22,2.51
2021-10-25,2.49
2021-10-26,2.47
2021-10-27,2.41
2021-10-28,2.45
2021-10-29,2.45
2021-10-31,2.47
2021-11-01,2.49
2021-11-02,2.46
2021-11-03,2.48
2021-11-04,2.43
2021-11-05,2.37
2021-11-08,2.40
2021-11-09,2.36
2021-11-10,2.46
2021-11-11,2.46
2021-11-12,2.50
2021-11-15,2.53
2021-11-16,2.55
2021-11-17,2.54
2021-11-18,2.53
2021-11-19,2.50
2021-11-22,2.58
2021-11-23,2.62
2021-11-24,2.62
2021-11-25,2.62
2021-11-26,2.54
2021-11-29,2.56
2021-11-30,2.55
2021-12-01,2.56
2021-12-02,2.59
2021-12-03,2.51
2021-12-06,2.56
2021-12-07,2.57
2021-12-08,2.60
2021-12-09,2.59
2021-12-10,2.59
2021-12-13,2.55
2021-12-14,2.57
2021-12-15,2.60
2021-12-16,2.56
2021-12-17,2.55
2021-12-20,2.57
2021-12-21,2.61
2021-12-22,2.59
2021-12-23,2.61
2021-12-24,.
2021-12-27,2.60
2021-12-28,2.59
2021-12-29,2.62
2021-12-30,2.59
2021-12-31,2.60
2022-01-03,2.70
2022-01-04,2.71
2022-01-05,2.74
2022-01-06,2.77
2022-01-07,2.80
2022-01-10,2.82
2022-01-11,2.80
2022-01-12,2.79
2022-01-13,2.79
2022-01-14,2.85
2022-01-17,2.85
2022-01-18,2.95
2022-01-19,2.92
2022-01-20,2.93
2022-01-21,2.89
2022-01-24,2.91
2022-01-25,2.95
2022-01-26,2.99
2022-01-27,3.01
2022-01-28,3.02
2022-01-31,3.05
2022-02-01,3.05
2022-02-02,3.01
2022-02-03,3.07
2022-02-04,3.18
2022-02-07,3.18
2022-02-08,3.20
2022-02-09,3.19
2022-02-10,3.31
2022-02-11,3.28
2022-02-14,3.34
2022-02-15,3.37
2022-02-16,3.38
2022-02-17,3.36
2022-02-18,3.36
2022-02-21,3.36
2022-02-22,3.41
2022-02-23,3.44
2022-02-24,3.51
2022-02-25,3.50
2022-02-28,3.43
2022-03-01,3.35
2022-03-02,3.51
2022-03-03,3.50
2022-03-04,3.46
2022-03-07,3.55
2022-03-08,3.71
2022-03-09,3.75
2022-03-10,3.83
2022-03-11,3.85
2022-03-14,3.98
2022-03-15,4.01
2022-03-16,4.00
2022-03-17,3.92
2022-03-18,3.87
2022-03-21,3.99
2022-03-22,4.02
2022-03-23,3.97
2022-03-24,4.00
2022-03-25,4.12
2022-03-28,4.11
2022-03-29,4.02
2022-03-30,3.97
2022-03-31,3.89
2022-04-01,3.93
2022-04-04,3.93
2022-04-05,4.03
2022-04-06,4.08
2022-04-07,4.10
2022-04-08,4.18
2022-04-11,4.25
2022-04-12,4.21
2022-04-13,4.20
2022-04-14,4.29
2022-04-15,.
2022-04-18,4.33
2022-04-19,4.42
2022-04-20,4.37
2022-04-21,4.47
2022-04-22,4.51
2022-04-25,4.46
2022-04-26,4.41
2022-04-27,4.45
2022-04-28,4.51
2022-04-29,4.56
2022-04-30,4.59
2022-05-02,4.69
2022-05-03,4.67
2022-05-04,4.60
2022-05-05,4.72
2022-05-06,4.76
2022-05-09,4.76
2022-05-10,4.70
2022-05-11,4.66
2022-05-12,4.60
2022-05-13,4.71
2022-05-16,4.68
2022-05-17,4.78
2022-05-18,4.75
2022-05-19,4.74
2022-05-20,4.69
2022-05-23,4.74
2022-05-24,4.64
2022-05-25,4.58
2022-05-26,4.53
2022-05-27,4.51
2022-05-30,4.51
2022-05-31,4.58
2022-06-01,4.64
2022-06-02,4.63
2022-06-03,4.67
2022-06-06,4.73
2022-06-07,4.69
2022-06-08,4.73
2022-06-09,4.76
2022-06-10,4.94
2022-06-13,5.21
2022-06-14,5.32
2022-06-15,5.22
2022-06-16,5.19
2022-06-17,5.16
2022-06-20,5.16
2022-06-21,5.21
2022-06-22,5.12
2022-06-23,5.07
2022-06-24,5.11
2022-06-27,5.16
2022-06-28,5.20
2022-06-29,5.13
2022-06-30,5.09
2022-07-01,5.04
2022-07-04,5.04
2022-07-05,4.99
2022-07-06,5.08
2022-07-07,5.12
2022-07-08,5.17
2022-07-11,5.09
2022-07-12,5.07
2022-07-13,5.07
2022-07-14,5.11
2022-07-15,5.07
2022-07-18,5.07
2022-07-19,5.11
2022-07-20,5.11
2022-07-21,4.97
2022-07-22,4.86
2022-07-25,4.91
2022-07-26,4.91
2022-07-27,4.85
2022-07-28,4.78
2022-07-29,4.73
2022-07-31,4.74
2022-08-01,4.70
2022-08-02,4.83
2022-08-03,4.83
2022-08-04,4.76
2022-08-05,4.91
2022-08-08,4.85
2022-08-09,4.90
2022-08-10,4.84
2022-08-11,4.88
2022-08-12,4.84
2022-08-15,4.78
2022-08-16,4.80
2022-08-17,4.88
2022-08-18,4.86
2022-08-19,4.96
2022-08-22,5.04
2022-08-23,5.04
2022-08-24,5.08
2022-08-25,5.01
2022-08-26,5.02
2022-08-29,5.11
2022-08-30,5.13
2022-08-31,5.18
2022-09-01,5.33
2022-09-02,5.24
2022-09-05,5.25
2022-09-06,5.39
2022-09-07,5.32
2022-09-08,5.33
2022-09-09,5.34
2022-09-12,5.35
2022-09-13,5.45
2022-09-14,5.44
2022-09-15,5.48
2022-09-16,5.50
2022-09-19,5.54
2022-09-20,5.60
2022-09-21,5.57
2022-09-22,5.74
2022-09-23,5.79
2022-09-26,5.99
2022-09-27,6.12
2022-09-28,5.95
2022-09-29,6.05
2022-09-30,6.10
2022-10-03,5.95
2022-10-04,5.89
2022-10-05,5.98
2022-10-06,6.02
2022-10-07,6.10
2022-10-10,6.11
2022-10-11,6.21
2022-10-12,6.22
2022-10-13,6.32
2022-10-14,6.36
2022-10-17,6.34
2022-10-18,6.30
2022-10-19,6.43
2022-10-20,6.52
2022-10-21,6.51
2022-10-24,6.50
2022-10-25,6.37
2022-10-26,6.31
2022-10-27,6.22
2022-10-28,6.27
2022-10-31,6.34
2022-11-01,6.32
2022-11-02,6.34
2022-11-03,6.42
2022-11-04,6.42
2022-11-07,6.44
2022-11-08,6.36
2022-11-09,6.33
2022-11-10,6.02
2022-11-11,6.02
2022-11-14,6.00
2022-11-15,5.88
2022-11-16,5.80
2022-11-17,5.87
2022-11-18,5.89
2022-11-21,5.89
2022-11-22,5.82
2022-11-23,5.75
2022-11-24,5.75
2022-11-25,5.74
2022-11-28,5.73
2022-11-29,5.79
2022-11-30,5.71
2022-12-01,5.55
2022-12-02,5.52
2022-12-05,5.63
2022-12-06,5.57
2022-12-07,5.47
2022-12-08,5.50
2022-12-09,5.58
2022-12-12,5.59
2022-12-13,5.47
2022-12-14,5.44
2022-12-15,5.44
2022-12-16,5.48
2022-12-19,5.57
2022-12-20,5.66
2022-12-21,5.63
2022-12-22,5.64
2022-12-23,5.69
2022-12-26,.
2022-12-27,5.78
2022-12-28,5.80
2022-12-29,5.77
2022-12-30,5.78
2022-12-31,5.80
2023-01-02,.
2023-01-03,5.77
2023-01-04,5.70
2023-01-05,5.72
2023-01-06,5.56
2023-01-09,5.50
2023-01-10,5.54
2023-01-11,5.45
2023-01-12,5.33
2023-01-13,5.38
2023-01-16,5.37
2023-01-17,5.37
2023-01-18,5.22
2023-01-19,5.26
2023-01-20,5.34
2023-01-23,5.36
2023-01-24,5.30
2023-01-25,5.29
2023-01-26,5.31
2023-01-27,5.32
2023-01-30,5.36
2023-01-31,5.31
2023-02-01,5.21
2023-02-02,5.17
2023-02-03,5.30
2023-02-06,5.42
2023-02-07,5.44
2023-02-08,5.41
2023-02-09,5.48
2023-02-10,5.56
2023-02-13,5.55
2023-02-14,5.61
2023-02-15,5.64
2023-02-16,5.69
2023-02-17,5.68
2023-02-20,5.68
2023-02-21,5.82
2023-02-22,5.81
2023-02-23,5.77
2023-02-24,5.86
2023-02-27,5.83
2023-02-28,5.84
2023-03-01,5.93
2023-03-02,5.96
2023-03-03,5.85
2023-03-06,5.86
2023-03-07,5.90
2023-03-08,5.94
2023-03-09,5.88
2023-03-10,5.72
2023-03-13,5.63
2023-03-14,5.76
2023-03-15,5.70
2023-03-16,5.81
2023-03-17,5.66
2023-03-20,5.71
2023-03-21,5.73
2023-03-22,5.54
2023-03-23,5.48
2023-03-24,5.50
2023-03-27,5.63
2023-03-28,5.67
2023-03-29,5.67
2023-03-30,5.62
2023-03-31,5.53
2023-04-03,5.45
2023-04-04,5.37
2023-04-05,5.35
2023-04-06,5.35
2023-04-07,.
2023-04-10,5.48
2023-04-11,5.47
2023-04-12,5.42
2023-04-13,5.44
2023-04-14,5.50
2023-04-17,5.56
2023-04-18,5.54
2023-04-19,5.57
2023-04-20,5.51
2023-04-21,5.54
2023-04-24,5.48
2023-04-25,5.35
2023-04-26,5.42
2023-04-27,5.51
2023-04-28,5.43
2023-04-30,5.45
2023-05-01,5.58
2023-05-02,5.46
2023-05-03,5.39
2023-05-04,5.43
2023-05-05,5.50
